ID	Name	LongName	Description	AddressLine1	AddressLine2	State	Zipcode	Country	Longitude	Latitude
10168	UPittTier3	University of Pittsburgh ATLAS Tier3	NULL	NULL	NULL	PA	15260	USA	-79.958067	40.444885
10169	ODU_Mileva	mileva.hpc.odu.edu	A 16 node cluster dedicated for use of Hadoop experiments. \nAssociation SURAgrid-VO	4700 Elkhorn Avenue Suite 4300	NULL	VA	23529	USA	-116.867846	37.401394
10170	GOC Staff VM	NULL	Grouping of OSG GOC Staff VMs running various ITB Services: CE, SE, GUMS, etc	NULL	NULL	NULL	47408	USA	-86.500726	39.174239
10171	brown-cms-new	NULL	new T3 cluster	182 Hope St.	Physics Dept.	R.I.	02912	USA	-71.4133	41.8239
10172	PNNL_DC	PNNL Distributed Computing	NULL	NULL	NULL	WA	99354	USA	-119.307833	46.347283
10173	IU GOC GLIDEIN	NULL	NULL	NULL	NULL	IN	47408	USA	-86.497679	39.17379
10174	OSC	NULL	NULL	NULL	NULL	Ohio	43212	USA	-83.042908	39.999742
10175	PNNL_OSG2	NULL	NULL	NULL	NULL	NULL	99354	USA	-119.307833	46.347283
10176	ISI	NULL	NULL	4676 Admiralty Way, Suite 1001	NULL	CA	91321	USA	-95.677068	37.0625
10177	ILS	Information and Library Sciences	Information and Library Sciences	1320 E 10th Street	NULL	IN	47405	USA	-86.51753783226013	39.17099515330087
10178	MIT CMS T3	NULL	NULL	NULL	NULL	MA	02139	United States	-71.2	42.364347
10179	Georgia State University Research Computing	NULL	NULL	NULL	NULL	NULL	30303	USA	-116.867846	37.401394
10180	UMSNH	NULL	University of Morelia Michoacan	Avenida Francisco J. Mujica S/N	NULL	MICHOACAN	58030	MEXICO	-101.209067	19.687771
10181	UChicago	NULL	University of Chicago Campus Grid and ITB resources	5735 S Ellis ave	NULL	IL	60637	USA	-87.601384	41.791219
10182	Kennesaw State University	NULL	Kennesaw State University is a member of the Belle and Belle II collaborations	Kennesaw State University, Department of Biology and Physics	1000 Chastain Road	Georgia	30144-5591	USA	-84.581597	34.0226996
10183	NU Tier3	Northwestern University Tier3 CMS	Tier3 Facility for Northwestern University's High Energy Physics Group, analyzing data from the CMS collaboration at CERN.	2020 Ridge Ave	NULL	IL	60201	USA	-87.68809	42.05408
10184	LUCCRE	NULL	NULL	NULL	NULL	NULL	73050	USA	-97.259847	35.945191
10185	UMD-IGS	NULL	Institute for Genome Sciences	801 W. Baltimore St	NULL	MD	21201	USA	-76.619433	39.281834
10186	Discovery	Wisconsin Institutes for Discovery	Wisconsin Institutes for Discovery	330 North Orchard	NULL	WI	53711	USA	-89.408536	43.073005
10187	High Performance Computing Facility - University of Puerto Rico	High Performance Computing Facility - University of Puerto Rico	NULL	NULL	NULL	PR	00925	USA	-66.076093	18.427525
10188	WIPAC	Wisconsin IceCube Particle Astrophysics Center	The Wisconsin IceCube Particle Astrophysics Center houses multiple Particle Astrophysics projects with the IceCube Neutrino Observatory being the largest.	222 W. Washington Ave	Suite 500	WI	53703	USA	-89.388464	43.070725
10189	FZU	NULL	Regional Computing Center for Particle Physics (RCCPP) is the biggest site in the Czech Republic for simulations and data processing for particle physics experiments. It is located in the Institute of Physics of the Academy of Sciences of the Czech Republic.	Na Slovance 1999/2		NULL	182 21	Czech Republic	14.468787	50.123424
10190	NUMEP-OSG	NU MEP OSG	Northwestern University Medium Energy Physics Group	2020 Ridge Ave.	NULL	IL	60201	USA	-87.68809	42.05408
10191	T3_US_NEU	Northeastern University CMS Tier 3	Northeastern University CMS Tier 3	360 Huntington Ave		MA	02115	US	-71.08919	42.33787
10192	T3_KR_KISTI	T3_KR_KISTI	KISTI cms tier3	Gwahangno 335, Yuseong-gu,	NULL	NULL	305-806	Korea	127.366	36.366
10193	UW-IT	University of Washington Information Technology	NULL	4545 15th Ave NE	NULL	WA	98105	US	-122.303546	47.655316
10194	SU ITS	Syracuse University Information Techology Services	Syracuse University Information Technology Services Research Clusters	NULL	NULL	NY	13244	United States	-76.13268340000002	43.0385961
